Date,Cases,Deaths
2023-01-01,11826523,100865
2021-07-20,3951134,64132
2023-01-02,11826523,100865
2021-07-21,3957625,64146
2023-01-03,11833426,100924
2021-07-22,3966545,64174
2023-01-04,11835660,101177
2021-07-23,3975402,64219
2023-01-05,11879543,101297
2021-07-24,3977990,64220
2023-01-06,11881668,101322
2021-07-25,3980074,64225
2023-01-07,11881668,101322
2021-07-26,3996383,64265
2023-01-08,11881685,101322
2021-07-27,4004981,64296
2023-01-09,11886820,101382
2021-07-28,4012673,64325
2021-07-29,4022880,64372
2021-12-01,5090300,74781
2021-12-02,5099788,74884
2021-12-03,5107543,74987
2021-12-04,5109833,75006
2021-12-05,5111469,75008
2021-12-06,5128950,75102
2022-07-30,10700053,93613
2022-03-30,9098492,88942
2021-12-07,5135147,75169
2023-02-01,11984822,102368
2022-07-31,10700053,93613
2022-03-31,9103954,89018
2021-12-08,5141243,75279
2021-08-20,4303611,65020
2023-02-02,12004618,102522
2021-12-09,5148904,75374
2021-08-21,4316350,65082
2023-02-03,12006068,102539
2021-08-22,4328308,65127
2023-02-04,12006068,102539
2021-08-23,4341369,65160
2023-02-05,12006071,102539
2021-08-24,4352491,65228
2023-02-06,12008242,102570
2021-08-25,4365584,65368
2023-02-07,12009359,102593
2021-08-26,4381691,65483
2023-02-08,12010445,102623
2021-08-27,4396238,65605
2023-02-09,12030850,102744
2021-08-28,4410353,65676
2021-08-29,4422246,65746
2020-10-30,931843,17627
2020-10-31,935262,17661
2022-08-30,11088191,94973
2023-03-01,12089197,103582
2022-08-31,11091425,95001
2023-03-02,12108673,103692
2023-03-03,12110014,103706
2023-03-04,12110014,103706
2023-03-05,12110014,103706
2023-03-06,12111875,103743
2023-03-07,12112791,103753
2023-03-08,12114454,103764
2023-03-09,12131977,103987
2021-10-01,4747079,69387
2021-10-02,4748442,69405
2021-10-03,4749498,69420
2021-10-04,4764829,69574
2021-10-05,4769383,69652
2021-10-06,4775779,69819
2022-09-30,11263827,96020
2021-10-07,4782944,69985
2021-10-08,4789773,70132
2021-10-09,4790968,70156
2020-02-20,8,0
2020-02-21,9,0
2020-02-22,9,0
2020-02-23,9,0
2020-02-24,11,0
2022-10-10,11290889,96244
2020-02-25,11,0
2022-10-11,11294061,96280
2020-02-26,26,0
2022-10-12,11294895,96308
2021-11-01,4933895,72289
2020-02-27,26,0
2022-10-13,11316398,96442
2021-11-02,4938058,72365
2020-02-28,27,0
2022-10-14,11317620,96460
2021-11-03,4943059,72471
2020-02-29,28,0
2022-10-15,11317620,96460
2021-11-04,4951490,72560
2022-10-16,11317620,96460
2021-11-05,4959010,72650
2022-10-17,11319190,96481
2021-11-06,4960633,72671
2022-10-18,11319195,96481
2021-11-07,4961782,72698
2022-10-19,11321488,96519
2021-11-08,4978363,72811
2021-11-09,4982702,72922
2020-03-20,1283,24
2020-03-21,1544,28
2020-03-22,1851,35
2020-03-23,2240,39
2020-03-24,2644,52
2022-11-10,11411448,97142
2020-03-25,3183,68
2022-11-11,11411450,99505
2020-03-26,4060,83
2022-11-12,11411450,99505
2020-03-27,4915,104
2022-11-13,11411450,99505
2020-03-28,5566,122
2022-11-14,11416039,99532
2020-03-29,6321,132
2022-11-15,11417621,99539
2022-11-16,11420767,99555
2022-11-17,11446381,99630
2022-11-18,11448703,99637
2022-11-19,11448703,99637
2021-03-30,3666541,59116
