Date,Cases,Deaths
2023-01-01,7269428,83911
2021-07-20,2430826,38422
2023-01-02,7269428,83911
2021-07-21,2439814,38480
2023-01-03,7269428,83911
2021-07-22,2452461,38566
2023-01-04,7269428,83912
2021-07-23,2479975,38670
2023-01-05,7269428,83912
2021-07-24,2479975,38670
2023-01-06,7350177,84176
2021-07-25,2479975,38670
2023-01-07,7350177,84176
2021-07-26,2479975,38670
2023-01-08,7350177,84176
2021-07-27,2518296,38748
2023-01-09,7350177,84176
2021-07-28,2534334,38840
2021-07-29,2551923,38896
2021-12-01,3693516,61548
2021-12-02,3695641,61630
2021-12-03,3697624,61701
2021-12-04,3699624,61701
2021-12-05,3699624,61701
2021-12-06,3702338,61789
2022-07-30,6789498,77565
2022-03-30,5847587,73138
2021-12-07,3704013,61789
2023-02-01,7400419,84927
2022-07-31,6789498,77565
2022-03-31,5849949,73244
2021-12-08,3705899,61789
2021-08-20,3027954,42252
2023-02-02,7400419,84927
2021-12-09,3708204,62007
2021-08-21,3040590,42252
2023-02-03,7440322,85710
2021-08-22,3040590,42252
2023-02-04,7440322,85710
2021-08-23,3082733,42716
2023-02-05,7440322,85710
2021-08-24,3103941,42722
2023-02-06,7440322,85710
2021-08-25,3130144,42731
2023-02-07,7440322,85710
2021-08-26,3151909,43632
2023-02-08,7440322,85710
2021-08-27,3179714,43979
2023-02-09,7440322,85710
2021-08-28,3200682,43979
2021-08-29,3200682,43979
2020-10-30,800208,16719
2020-10-31,802539,16760
2022-08-30,7019198,79770
2023-03-01,7473371,86294
2022-08-31,7025348,79853
2023-03-02,7473371,86294
2023-03-03,7531055,86850
2023-03-04,7531055,86850
2023-03-05,7531055,86850
2023-03-06,7531055,86850
2023-03-07,7531055,86850
2023-03-08,7531055,86850
2023-03-09,7531055,86850
2021-10-01,3576581,55299
2021-10-02,3581027,55299
2021-10-03,3581027,55300
2021-10-04,3586802,55619
2021-10-05,3590400,55622
2021-10-06,3594182,55625
2022-09-30,7118498,81416
2021-10-07,3597731,56407
2021-10-08,3601755,56667
2021-10-09,3604846,56667
2022-10-10,7129245,81661
2022-10-11,7134231,81764
2022-10-12,7135916,81807
2021-11-01,3650637,59670
2022-10-13,7137526,81865
2021-11-02,3652637,59670
2022-10-14,7139149,81910
2021-11-03,3654441,59670
2022-10-15,7139149,81910
2021-11-04,3656010,59670
2022-10-16,7139149,81910
2021-11-05,3657775,60334
2022-10-17,7142502,82021
2021-11-06,3659255,60334
2022-10-18,7144141,82025
2021-11-07,3659255,60334
2022-10-19,7145833,82065
2021-11-08,3661182,60418
2021-11-09,3662957,60418
2020-03-20,564,9
2020-03-21,764,11
2020-03-22,1000,13
2020-03-23,1222,18
2020-03-24,1467,20
2022-11-10,7172457,82541
2020-03-25,1971,23
