Date,Cases,Deaths
2023-01-01,3976840,40678
2021-07-20,1407317,25847
2023-01-02,3976840,40678
2021-07-21,1408618,25854
2023-01-03,3981926,40702
2021-07-22,1410504,25860
2023-01-04,3981982,40702
2021-07-23,1411845,25867
2023-01-05,3987971,40747
2021-07-24,1411845,25867
2023-01-06,3988009,40747
2021-07-25,1411845,25867
2023-01-07,3988009,40747
2021-07-26,1415898,25881
2023-01-08,3988009,40747
2021-07-27,1417560,25886
2023-01-09,3988144,40747
2021-07-28,1419721,25893
2021-07-29,1421376,25908
2021-12-01,1821286,29432
2021-12-02,1832924,29477
2021-12-03,1840377,29521
2021-12-04,1840377,29521
2021-12-05,1840377,29521
2021-12-06,1859208,29619
2022-07-30,3569918,38882
2022-03-30,3072239,37645
2021-12-07,1866099,29710
2023-02-01,4026996,41088
2022-07-31,3569918,38882
2022-03-31,3073830,37667
2021-12-08,1872854,29734
2021-08-20,1486875,26223
2023-02-02,4036994,41180
2021-12-09,1882641,29793
2021-08-21,1486875,26223
2023-02-03,4037023,41180
2021-08-22,1486875,26223
2023-02-04,4037023,41180
2021-08-23,1495978,26275
2023-02-05,4037023,41180
2021-08-24,1498948,26291
2023-02-06,4037072,41180
2021-08-25,1503473,26335
2023-02-07,4037092,41180
2021-08-26,1507620,26401
2023-02-08,4037121,41180
2021-08-27,1512387,26420
2023-02-09,4047219,41261
2021-08-28,1512387,26420
2021-08-29,1512387,26420
2020-10-30,410141,10012
2020-10-31,416557,10030
2022-08-30,3689365,39310
2023-03-01,4069468,41379
2022-08-31,3694055,39328
2023-03-02,4080061,41443
2023-03-03,4080122,41443
2023-03-04,4080122,41443
2023-03-05,4080122,41443
2023-03-06,4080183,41443
2023-03-07,4080183,41443
2023-03-08,4080247,41443
2023-03-09,4090398,41496
2021-10-01,1635964,27714
2021-10-02,1635964,27714
2021-10-03,1635964,27714
2021-10-04,1642809,27785
2021-10-05,1645978,27811
2021-10-06,1648902,27878
2022-09-30,3768893,39698
2021-10-07,1652490,27924
2021-10-08,1655222,27965
2021-10-09,1655222,27965
2020-02-20,2,0
2020-02-21,2,0
2020-02-22,2,0
2020-02-23,2,0
2020-02-24,2,0
2022-10-10,3780406,39777
2020-02-25,2,0
2022-10-11,3784876,39791
2020-02-26,2,0
2022-10-12,3786686,39802
2021-11-01,1706985,28695
2020-02-27,2,0
2022-10-13,3788958,39823
