state,cases,deaths
California,6315141921,67503932
Texas,4640982014,62871518
Florida,4065043272,52694427
New York,3481460364,59061061
Illinois,2184024652,28833752
Pennsylvania,1884002397,32653246
Ohio,1813202197,25744838
North Carolina,1775818771,17314387
Georgia,1694478089,25872159
Michigan,1601347249,26110438
New Jersey,1577338492,28482863
Arizona,1364935095,21257570
Tennessee,1351257576,17188151
Massachusetts,1165164476,18434286
Virginia,1160403288,14102858
Indiana,1153802424,16853649
Wisconsin,1093914775,10004696
South Carolina,988262712,12543645
Missouri,986827551,13875907
Alabama,895850975,13758382
Kentucky,873479809,10223505
Louisiana,849484676,13259185
Maryland,722342631,11055992
Minnesota,966074812,9306987
Washington,953581074,8960697
Colorado,927507759,8976123
Oklahoma,708629274,9457851
Utah,626051174,3194695
Arkansas,564075918,7905784
Mississippi,545333974,9103032
Iowa,533816276,6953414
Connecticut,521290817,9082510
Kansas,517178450,6182474
Nevada,502276914,7437941
Oregon,463805540,4865473
Puerto Rico,447674423,3223949
New Mexico,351256116,5393922
Nebraska,328002597,3034055
West Virginia,321117902,4434127
Idaho,299664100,3264273
Rhode Island,244243050,2855775
New Hampshire,190247767,1777416
Montana,182999837,2246802
Delaware,176542579,2113929
South Dakota,167555386,2159513
North Dakota,165191218,1729703
Maine,148235786,1464390
Wyoming,104068492,1164870
District of Columbia,92781319,1160633
Alaska,156619480,747325
Hawaii,155169144,945585
Vermont,70151935,434397
Guam,29032671,239558
Virgin Islands,11075822,72839
Northern Mariana Islands,5332866,17462
American Samoa,2704294,11048
