Date,Cases,Deaths
2023-01-01,8111323,92709
2021-07-20,3042473,52992
2023-01-02,8111323,92709
2021-07-21,3050283,53035
2023-01-03,8111323,92712
2021-07-22,3057841,53070
2023-01-04,8151596,92867
2021-07-23,3064653,53118
2023-01-05,8151596,92870
2021-07-24,3069699,53141
2023-01-06,8151596,92874
2021-07-25,3071097,53156
2023-01-07,8151596,92874
2021-07-26,3076397,53171
2023-01-08,8151596,92877
2021-07-27,3088278,53210
2023-01-09,8151596,92885
2021-07-28,3097047,53275
2021-07-29,3112522,53309
2021-12-01,4332011,74244
2021-12-02,4336327,74346
2021-12-03,4340505,74422
2021-12-04,4342425,74485
2021-12-05,4343389,74512
2021-12-06,4347374,74532
2022-07-30,7443235,89455
2022-03-30,6676944,87452
2021-12-07,4352353,74589
2023-02-01,8262540,93481
2022-07-31,7443235,89455
2022-03-31,6680558,87507
2021-12-08,4356555,74685
2021-08-20,3433517,55229
2023-02-02,8262540,93481
2021-12-09,4360146,74767
2021-08-21,3451738,55390
2023-02-03,8262540,93484
2021-08-22,3455618,55450
2023-02-04,8262540,93484
2021-08-23,3466970,55509
2023-02-05,8262540,93484
2021-08-24,3488035,55719
2023-02-06,8262540,93494
2021-08-25,3511447,55967
2023-02-07,8262540,93537
2021-08-26,3527090,56228
2023-02-08,8282728,93670
2021-08-27,3548371,56519
2023-02-09,8282728,93682
2021-08-28,3558939,56741
2021-08-29,3562808,56850
2020-10-30,946023,18477
2020-10-31,953451,18549
2022-08-30,7729794,90355
2023-03-01,8337836,94141
2022-08-31,7738083,90390
2023-03-02,8337836,94157
2023-03-03,8337836,94161
2023-03-04,8337836,94161
2023-03-05,8337836,94161
2023-03-06,8337836,94163
2023-03-07,8337836,94170
2023-03-08,8350220,94241
2023-03-09,8350220,94371
2021-10-01,4069475,65858
2021-10-02,4075826,66106
2021-10-03,4076957,66234
2021-10-04,4084775,66367
2021-10-05,4095417,66638
2021-10-06,4108141,67015
2022-09-30,7882610,91016
2021-10-07,4116095,67267
2021-10-08,4123946,67659
2021-10-09,4128945,67889
2020-02-20,2,0
2020-02-21,4,0
2020-02-22,4,0
2020-02-23,4,0
2020-02-24,10,0
2022-10-10,7889760,91068
2020-02-25,10,0
2022-10-11,7890116,91071
